movie title,Year,color,duration,genre1,genre2,genre3,genre4,genre5,genre6,genre7,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,num_user_for_reviews,language,country,content_rating,gross,budget,Gross_to_Budget_Ratio,IMDB Score,aspect_ratio, Facebook Likes 
Duel in the Sun,1946,Color,144,Drama,Romance,Western,,,,,54,469,436,332,6304,2037,0,box office hit,half breed,infidelity,shooting,texas,87,English,USA,Unrated,"$20,400,000 ","$8,000,000 ",2.55,6.9,1.37, 720 
Best in Show,2000,Color,90,Comedy,,,,,,,378,957,925,658,45859,4611,9,dog show,gay,gay character,gay couple,gay interest,340,English,USA,PG013,"$18,621,249 ","$6,000,000 ",3.1,7.5,1.85, -   
Escape from New York,1981,Color,106,Action,Sci0Fi,,,,,,0,742,602,381,91017,2270,1,1990s,police,prison,rescue,year 1997,284,English,UK,R,"$25,244,700 ","$6,000,000 ",4.21,7.2,2.35," 11,000 "
School Daze,1988,Color,121,Comedy,Drama,Musical,,,,,0,413,282,182,4756,1284,4,beauty salon,black college,college,fraternity,sorority,38,English,USA,R,"$14,545,844 ","$6,500,000 ",2.24,5.8,1.85, -   
Daddy Day Camp,2007,Color,89,Comedy,Family,,,,,,0,555,484,405,12339,1752,2,competition,estranged father,skunk,summer camp,wall,32,English,USA,PG,"$13,235,267 ","$6,000,000 ",2.21,2.9,1.85, 680 
Mystic Pizza,1988,Color,104,Comedy,Drama,Romance,,,,,80,8000,960,658,18286,10430,4,commitment,marriage,pizza,title appears in writing,woman wearing only a man's shirt,73,English,USA,R,"$12,793,213 ","$6,000,000 ",2.13,6.2,1.85, 328 
Sliding Doors,1998,Color,99,Comedy,Drama,Fantasy,Romance,,,,29,711,427,161,52805,1462,1,alternative reality,multiple outcomes,parallel time,serendipity,twist of fate,278,English,UK,R,"$11,883,495 ","$9,000,000 ",1.32,6.8,1.85," 27,000 "
Tales from the Hood,1995,Color,98,Comedy,Horror,Thriller,,,,,38,1000,475,360,4582,3221,0,child abuse,death,drugs,ku klux klan,police brutality,52,English,USA,R,"$11,797,927 ","$6,000,000 ",1.97,6.1,1.85, 441 
The Last King of Scotland,2006,Color,121,Biography,Drama,History,Thriller,,,,162,1000,149,25,145580,1184,1,1970s,assassination,doctor,scottish,ugandan,351,English,UK,R,"$17,605,861 ","$6,000,000 ",2.93,7.7,2.35, -   
Halloween 5,1989,Color,96,Horror,Thriller,,,,,,2,742,256,120,22929,1308,1,cat,halloween,kitten,michael myers,psychotronic,287,English,USA,X,"$11,642,254 ","$3,000,000 ",3.88,5.2,1.85, -   
Bernie,2011,Color,99,Comedy,Crime,Drama,,,,,0,11000,106,84,45396,11328,1,funeral,stockbroker,texas,vacation,widow,136,English,USA,PG013,"$9,203,192 ","$5,000,000 ",1.84,6.8,1.85, 227 
Dolphins and Whales 3D: Tribes of the Ocean,2008,Color,42,Adventure,Documentary,Short,,,,,0,844,0,,172,844,0,3d in title,animal in title,digit in title,dolphin,manatee,5,English,UK,,"$7,518,876 ","$6,000,000 ",1.25,6.5,1.78," 17,000 "
Pollock,2000,Color,122,Biography,Drama,,,,,,0,697,394,221,23023,1517,0,1940s,artist,drinking,life magazine,painter,148,English,USA,R,"$8,596,914 ","$6,000,000 ",1.43,7,1.85, 808 
200 Cigarettes,1999,Color,101,Comedy,Drama,Romance,,,,,112,1000,744,612,13010,2697,5,bartender,friend,new year's eve,party,punk,182,English,USA,R,"$6,851,636 ","$6,000,000 ",1.14,5.9,1.85," 1,000 "
The Words,2012,Color,102,Drama,Mystery,Romance,Thriller,,,,49,24000,14000,10000,59637,51355,1,american in paris,book,love,novel,writer,130,English,USA,PG013,"$11,434,867 ","$6,000,000 ",1.91,7.1,1.85," 15,000 "
Casa de mi Padre,2012,Color,84,Comedy,Western,,,,,,4,8000,806,546,17169,10123,1,absurd humor,drug lord,mexico,ranch,spaghetti western,70,Spanish,USA,R,"$5,895,238 ","$6,000,000 ",0.98,5.5,2.35," 1,000 "
City Island,2009,Color,104,Comedy,Drama,,,,,,20,3000,591,130,27301,3825,6,anger,family reunion,father son reunion,hugging,movie making,101,English,USA,PG013,"$6,670,712 ","$6,000,000 ",1.11,7.4,1.85, -   
The Guard,2011,Color,96,Comedy,Crime,Thriller,,,,,51,3000,482,28,64794,3569,0,boat on fire,drug smuggling,fbi,fbi agent,small town,131,English,Ireland,R,"$5,359,774 ","$6,000,000 ",0.89,7.3,2.35," 16,000 "
College,2008,Color,94,Comedy,,,,,,,0,1000,1000,664,11011,4484,0,college,face slap,high school,loss of virginity,pierced nipple,78,English,USA,R,"$4,693,919 ","$6,500,000 ",0.72,4.6,1.85, -   
The Virgin Suicides,1999,Color,90,Drama,Romance,,,,,,0,4000,899,826,116910,7103,0,catholic,five sisters,isolation,school,suicide,520,English,USA,R,"$4,859,475 ","$6,000,000 ",0.81,7.2,1.85," 20,000 "
Miss March,2009,Color,90,Comedy,Romance,,,,,,138,373,308,263,18313,1831,2,fellatio,hugh hefner,oral sex,playboy centerfold,topless female nudity,73,English,USA,R,"$4,542,775 ","$6,000,000 ",0.76,5.1,1.85, -   
Wish I Was Here,2014,Color,106,Comedy,Drama,,,,,,0,17000,1000,379,29341,18947,4,actor,dream sequence,genius recluse,jew,religion,93,English,USA,R,"$3,588,432 ","$6,000,000 ",0.6,6.7,2.35, -   
Simply Irresistible,1999,Color,96,Comedy,Drama,Fantasy,Romance,,,,3,4000,812,353,11439,5668,1,chef,female chef,love,magic,restaurant,190,English,Germany,PG013,"$4,394,936 ","$6,000,000 ",0.73,5.3,2.35, -   
Hedwig and the Angry Inch,2001,Color,95,Comedy,Drama,Music,Musical,,,,263,263,261,179,26300,993,0,band,rock band,sex change,song,transsexual,231,English,USA,R,"$3,029,081 ","$6,000,000 ",0.5,7.8,1.85, -   
Only the Strong,1993,Color,99,Action,Drama,,,,,,23,97,91,82,4195,382,1,capoeira,fight,fighting,martial arts,violence,50,English,USA,PG013,"$3,273,588 ","$6,000,000 ",0.55,6.7,1.85, -   
Shattered Glass,2003,Color,99,Drama,History,,,,,,53,4000,3000,491,28855,8297,0,fabricated facts,journalist,stephen glass,the new republic,writer,190,English,USA,PG013,"$2,207,975 ","$6,000,000 ",0.37,7.2,2.35," 25,000 "
Novocaine,2001,Color,95,Comedy,Crime,Drama,Thriller,,,,8,244,230,15,9589,489,3,dentist,drugs,murder,sex,sunflower,105,English,USA,R,"$2,025,238 ","$6,000,000 ",0.34,5.8,1.85," 25,000 "
The Wackness,2008,Color,99,Comedy,Drama,Romance,,,,,129,976,617,362,27266,2748,2,ice cream,marijuana,new york city,summer,therapy,75,English,USA,R,"$2,077,046 ","$6,000,000 ",0.35,7,2.35, 518 
Beastmaster 2: Through the Portal of Time,1991,Color,107,Action,Adventure,Fantasy,Sci0Fi,,,,0,721,514,284,2281,2000,2,beast,beastmaster,psychotronic,sword and sorcery,warrior,16,English,USA,PG013,"$869,325 ","$6,000,000 ",0.14,3.8,1.85," 25,000 "
The 5th Quarter,2010,Color,90,Biography,Drama,Sport,,,,,11,767,529,316,1245,2370,2,athletic training,football practice,funeral,gymnasium,man crying,29,English,USA,PG,"$399,611 ","$6,000,000 ",0.07,5.7,1.85, -   
The Greatest,2009,Color,96,Drama,Romance,,,,,,19,1000,943,71,7394,2163,2,car crash,loss,self help group,teenage mother,title directed by female,50,English,USA,R,"$115,862 ","$6,000,000 ",0.02,6.7,2.35, -   
Snow Flower and the Secret Fan,2011,,104,Drama,History,,,,,,61,974,595,451,3024,2430,0,car hitting pedestrian,china,fan,nineteenth century,reversal of fortune,22,English,China,PG013,"$1,346,503 ","$6,000,000 ",0.22,6.1,2.35," 35,000 "
Come Early Morning,2006,Color,97,Drama,Romance,,,,,,781,596,206,90,2330,1081,0,church,drink,knocking on a door,love,three word title,29,English,USA,R,"$117,560 ","$6,000,000 ",0.02,6.2,1.85," 14,000 "
Lucky Break,2001,Color,107,Comedy,Crime,Romance,,,,,11,773,766,419,1940,2440,0,escape,prison,prison escape,sadism,solitary confinement,34,English,UK,PG013,"$54,606 ","$6,000,000 ",0.01,6.2,2.35, 49 
"Surfer, Dude",2008,Color,85,Comedy,,,,,,,0,11000,826,499,7367,14599,0,barefoot,endorsement,surfboard,virtual reality,waves,37,English,USA,R,"$36,497 ","$6,000,000 ",0.01,4.7,1.85, -   
Deadfall,2012,Color,95,Crime,Drama,Thriller,,,,,24,16000,10000,874,32512,27575,1,police officer,police officer killed,police officer shot,sex scene,,86,English,USA,R,"$65,804 ","$12,000,000 ",0.01,6.3,2.35, -   
L'auberge espagnole,2002,Color,111,Comedy,Drama,,,,,,82,809,447,269,34383,1858,0,apartment,erasmus,language,student,trip,149,French,France,R,"$3,895,664 ","$5,300,000 ",0.74,7.3,1.85, 398 
Song One,2014,Color,86,Drama,Music,,,,,,4,11000,485,444,6797,12772,1,musician,number in title,recording,sibling,,21,English,USA,PG013,"$20,200 ","$6,000,000 ",0,5.8,, -   
Murder by Numbers,2002,Color,115,Crime,Mystery,Thriller,,,,,58,33000,455,400,43575,34605,0,disposing of a dead body,high school student,murder,sociopath,teenage boy,302,English,USA,R,"$31,874,869 ","$50,000,000 ",0.64,6.1,1.85, -   
Winter in Wartime,2008,Color,103,Drama,History,War,,,,,12,163,20,19,9230,219,1,horse,nazi,occupation,resistance movement,uncle nephew relationship,37,Dutch,Netherlands,R,"$542,860 ","$4,000,000 ",0.14,7.1,2.35, 425 
The Protector,2005,Color,111,Action,Crime,Drama,Thriller,,,,64,778,635,380,30210,2205,0,die hard scenario,elephant,long take,police,sydney australia,214,Thai,Thailand,R,"$11,905,519 ","$200,000,000 ",0.06,7.1,1.85, -   
Bend It Like Beckham,2002,Color,112,Comedy,Drama,Romance,Sport,,,,98,883,528,397,89806,2201,0,hinduism,marriage engagement,soccer,team,tradition,438,English,UK,PG013,"$32,541,719 ","$3,500,159 ",9.3,6.7,1.85, -   
Sunshine State,2002,Color,141,Drama,Romance,,,,,,407,688,659,501,3433,2584,6,african american,business,coastline,florida,real estate,81,English,USA,PG013,"$3,064,356 ","$5,600,000 ",0.55,6.9,1.85, -   
Crossover,2006,Color,95,Action,Sport,,,,,,17,592,378,255,8707,2000,6,african american,basketball,basketball movie,critically bashed,tv commercial,36,English,USA,PG013,"$7,009,668 ","$5,600,000 ",1.25,2.1,1.85, -   
[Rec] 2,2009,Color,85,Horror,,,,,,,57,37,9,6,55597,73,0,apartment,apartment building,blood sample,crucifix,zombie,148,Spanish,Spain,R,"$27,024 ","$5,600,000 ",0,6.6,1.85, -   
The Sting,1973,Color,129,Comedy,Crime,Drama,,,,,131,1000,559,417,175607,2387,0,con,con man,courier,long con,murder,252,English,USA,PG,"$159,600,000 ","$5,500,000 ",29.02,8.3,1.85, -   
Chariots of Fire,1981,Color,125,Biography,Drama,Sport,,,,,46,368,303,249,40511,1651,0,athlete,jew,missionary,olympic games,race,213,English,UK,PG,"$58,800,000 ","$5,500,000 ",10.69,7.2,1.85, -   
Diary of a Mad Black Woman,2005,Color,116,Comedy,Drama,Romance,,,,,0,907,637,476,10472,2723,0,comic relief,diary,kiss,madea series,state flag,202,English,USA,PG013,"$50,382,128 ","$5,500,000 ",9.16,5.6,1.85, 561 
Shine,1996,Color,105,Biography,Drama,Music,Romance,,,,96,509,294,35,43013,888,0,abuse,australia,concert,pianist,piano,104,English,Australia,PG013,"$35,811,509 ","$5,500,000 ",6.51,7.7,1.85, 944 
Don Jon,2013,Color,90,Comedy,Drama,Romance,,,,,23000,23000,19000,694,190494,44265,1,camera focus on female butt,cunnilingus,new jersey,oral sex,reference to facebook,314,English,USA,R,"$24,475,193 ","$3,000,000 ",8.16,6.6,2.35," 18,000 "
Ghost World,2001,Color,111,Comedy,Drama,,,,,,72,19000,12000,722,96129,34106,0,art class,diner,friend,graduation,high school,488,English,USA,R,"$6,200,756 ","$7,000,000 ",0.89,7.4,1.85, 345 
Iris,2001,Color,91,Biography,Drama,Romance,,,,,14,14000,1000,548,14786,16768,1,alzheimer's disease,book,love,novelist,writer,144,English,UK,R,"$1,292,119 ","$5,500,000 ",0.23,7.1,1.85, 208 
The Chorus,2004,Color,97,Drama,Music,,,,,,25,517,86,57,44151,745,0,boarding school,boy,choir,school,teacher,110,French,France,PG013,"$3,629,758 ","$5,500,000 ",0.66,7.9,2.35, -   
Mambo Italiano,2003,Color,92,Comedy,Drama,,,,,,9,636,210,71,5548,1033,0,gay,immigrant,italian,police,police officer,67,English,Canada,R,"$6,239,558 ","$5,000,000 ",1.25,6.7,1.85, -   
Wonderland,2003,Color,104,Crime,Drama,Mystery,Thriller,,,,10,715,436,93,18792,1315,0,murder,police,police investigation,porn star,robbery,153,English,USA,R,"$1,056,102 ","$5,000,000 ",0.21,6.6,1.85," 1,000 "
Do the Right Thing,1989,Color,120,Drama,,,,,,,0,782,652,388,59524,2892,2,black militant,frustration,pizza,pizza parlor,pizzeria,418,English,USA,R,"$27,545,445 ","$6,500,000 ",4.24,7.9,1.85," 10,000 "
Harvard Man,2001,Color,99,Comedy,Crime,Drama,Romance,Thriller,,,56,4000,902,781,3754,6776,3,basketball,cheerleader,college,harvard,philosophy,69,English,USA,R,"$56,007 ","$5,500,000 ",0.01,4.9,2.35, 106 
Le Havre,2011,Color,93,Comedy,Drama,,,,,,592,232,67,36,15267,391,1,bar,container,illegal immigrant,neighbor,shoe shiner,41,French,Finland,Not Rated,"$611,709 ","$3,850,000 ",0.16,7.2,1.85, -   
R100,2013,Color,99,Comedy,Drama,,,,,,17,31,17,16,1658,81,0,coma,one word title,spitting,sushi,swimming pool,12,Japanese,Japan,Unrated,"$22,770 ","$5,500,000 ",0,6.1,1.85, -   
Salvation Boulevard,2011,Color,96,Action,Comedy,Drama,Thriller,,,,3,472,39,38,3788,561,5,cross,doused with gasoline,pastor,security guard,shower,31,English,USA,R,"$27,445 ","$9,000,000 ",0,5.3,1.85, -   
The Ten,2007,Color,96,Comedy,Romance,,,,,,136,4000,543,139,15315,4883,4,death,mexico,sabbath,surgeon,ten stories,117,English,USA,R,"$766,487 ","$5,250,000 ",0.15,5,1.85, 242 
Headhunters,2011,Color,100,Crime,Drama,Thriller,,,,,77,286,52,27,79353,385,3,art thief,male frontal nudity,male nudity,male star appears nude,painting,121,Norwegian,Norway,R,"$1,196,752 ","$30,300,000 ",0.04,7.6,2.39, -   
Saint Ralph,2004,Color,98,Comedy,Drama,Sport,,,,,12,393,259,149,4976,955,1,boston marathon,coma,marathon,miracles,running,52,English,Canada,PG013,"$795,126 ","$6,000,000 ",0.13,7.6,1.85," 20,000 "
Insidious: Chapter 2,2013,Color,106,Fantasy,Horror,Thriller,,,,,0,852,618,482,109214,2975,0,barricading a door,injection in leg,police detective,supernatural,taser,269,English,USA,PG013,"$83,574,831 ","$5,000,000 ",16.71,6.6,2.35, -   
Saw II,2005,Color,95,Horror,Mystery,,,,,,163,1000,654,651,188679,4134,0,death,detective,nerve gas,serial killer,trap,864,English,USA,R,"$87,025,093 ","$4,000,000 ",21.76,6.6,1.85, 533 
10 Cloverfield Lane,2016,Color,104,Drama,Horror,Mystery,Sci0Fi,Thriller,,,16,14000,338,82,126893,14504,0,alien,bunker,car crash,kidnapping,minimal cast,440,English,USA,PG013,"$71,897,215 ","$15,000,000 ",4.79,7.3,2.35, 795 
Jackass: The Movie,2002,Color,87,Comedy,Documentary,,,,,,79,608,362,218,67992,1770,0,alligator,golf,japan,panda,stunt,327,English,USA,R,"$64,267,897 ","$5,000,000 ",12.85,6.6,1.85," 12,000 "
Lights Out,2016,Color,81,Horror,,,,,,,26,2000,509,300,13523,3344,0,based on short film,reference to avenged sevenfold,reference to slayer,switching lights on and off,two word title,95,English,USA,PG013,"$56,536,016 ","$4,900,000 ",11.54,6.9,2.35, -   
Paranormal Activity 3,2011,Color,94,Horror,,,,,,,24,581,438,434,76828,2371,0,animate object,imaginary friend,reference to macgyver,whispering,woman wearing only a man's shirt,314,English,USA,R,"$104,007,828 ","$5,000,000 ",20.8,5.8,1.85, -   
Ouija,2014,Color,89,Fantasy,Horror,,,,,,10,852,707,704,31915,5056,0,death of girlfriend,funeral,ghost,ouija,spirit,159,English,USA,PG013,"$50,820,940 ","$5,000,000 ",10.16,4.4,2.35, 319 
A Nightmare on Elm Street 3: Dream Warriors,1987,Color,88,Action,Fantasy,Horror,Thriller,,,,55,506,449,150,49820,1584,0,dream,freddy krueger,killer,nightmare,springwood ohio,311,English,USA,X,"$44,793,200 ","$4,500,000 ",9.95,6.6,1.85, -   
The Gift,2015,Color,108,Mystery,Thriller,,,,,,0,1000,562,458,79916,3215,1,compulsive liar,fired from a job,gift,rape,substance abuse,279,English,USA,R,"$43,771,291 ","$5,000,000 ",8.75,7.1,2.35, 74 
Instructions Not Included,2013,Color,115,Comedy,Drama,,,,,,399,399,89,83,22105,688,1,father daughter relationship,,,,,81,Spanish,Mexico,PG013,"$44,456,509 ","$5,000,000 ",8.89,7.6,1.85, 725 
Paranormal Activity 4,2012,Color,96,Horror,,,,,,,24,235,119,113,51204,799,0,boy in a bathtub,demon,laptop computer,pulled underwater,walking in the dark,247,English,USA,R,"$53,884,821 ","$5,000,000 ",10.78,4.6,1.85, 883 
The Robe,1953,Color,135,Drama,History,,,,,,28,726,422,275,6359,1920,1,box office hit,crucifixion,nightmare,palestine,robe,69,English,USA,Unrated,"$36,000,000 ","$5,000,000 ",7.2,6.8,2.2, -   
Freddy's Dead: The Final Nightmare,1991,Color,93,Comedy,Fantasy,Horror,Thriller,,,,54,40000,618,581,30765,42002,0,dark comedy,dream,freddy krueger,nightmare,serial murder,252,English,USA,R,"$34,872,293 ","$8,500,000 ",4.1,4.9,1.85, 952 
Monster,2003,Color,109,Biography,Crime,Drama,Thriller,,,,260,9000,844,592,105568,11736,2,beach,female criminal,hooker,lesbian,prostitute,533,English,USA,R,"$34,468,224 ","$4,500,000 ",7.66,7.3,1.85, 33 
Paranormal Activity: The Marked Ones,2014,Color,101,Fantasy,Horror,Thriller,,,,,52,510,358,332,31791,2161,0,apartment,blood,demonic possession,neighbor,pentagram,155,English,USA,R,"$32,453,345 ","$5,000,000 ",6.49,5,1.78," 5,000 "
Dallas Buyers Club,2013,Color,117,Biography,Drama,,,,,,212,11000,3000,896,326494,17738,0,drugs,fda,gay community,hiv,homophobia,340,English,USA,R,"$27,296,514 ","$5,000,000 ",5.46,8,2.35, 85 
The Lazarus Effect,2015,Color,83,Horror,Sci0Fi,Thriller,,,,,26,10000,830,801,28513,11771,0,electrocuted,experiment,hell,serum,university,126,English,USA,PG013,"$25,799,043 ","$3,300,000 ",7.82,5.2,2.35," 12,000 "
Memento,2000, Black and White,113,Mystery,Thriller,,,,,,22000,716,651,379,845580,1997,0,flashback,memory,murder,short term memory,telephone,2067,English,USA,R,"$25,530,884 ","$9,000,000 ",2.84,8.5,2.35, 345 
Oculus,2013,Color,104,Horror,Mystery,,,,,,59,972,407,202,85688,2071,0,home office,mirror,released from a mental hospital,trauma,video camera,339,English,USA,R,"$27,689,474 ","$5,000,000 ",5.54,6.5,2.35, 117 
Clerks II,2006, Black and White,97,Comedy,,,,,,,0,1000,898,657,114797,2990,3,fast food,fast food restaurant,new jersey,quick stop,restaurant,472,English,USA,R,"$24,138,847 ","$5,000,000 ",4.83,7.4,1.85, -   
Billy Elliot,2000,Color,110,Drama,Music,,,,,,335,838,203,34,98354,1122,0,audition,ballet,boxing,miner,miners strike,433,English,UK,R,"$21,994,911 ","$5,000,000 ",4.4,7.7,1.85, -   
The Way Way Back,2013,Color,103,Comedy,Drama,,,,,,214,7000,468,424,115813,8375,1,awkward boy,shy kid,summer,vacation,water park,216,English,USA,PG013,"$21,501,098 ","$5,000,000 ",4.3,7.4,1.85, 661 
House Party 2,1991,Color,94,Comedy,Drama,Music,Romance,,,,0,901,413,287,3571,2523,0,college,misogyny,money,new friend,party,11,English,USA,R,"$19,281,235 ","$5,000,000 ",3.86,5.1,1.85, -   
Doug's 1st Movie,1999,Color,77,Animation,Comedy,Family,,,,,0,2000,804,73,2448,2908,1,dance,friend,monster,reference to batman,valentine,18,English,USA,G,"$19,421,271 ","$5,000,000 ",3.88,5,1.33, 321 
The Apostle,1997,Color,134,Drama,,,,,,,3000,205,130,77,11622,428,1,church,louisiana,minister,preacher,texas,157,English,USA,PG013,"$20,733,485 ","$5,000,000 ",4.15,7.2,1.85, 503 
Our Idiot Brother,2011,Color,90,Comedy,Drama,,,,,,37,11000,3000,1000,74875,15710,1,art model,farmer,jail,nude model,three sisters,115,English,USA,R,"$24,809,547 ","$5,000,000 ",4.96,6.4,1.85, 874 
The Players Club,1998,Color,104,Comedy,Drama,,,,,,0,1000,597,498,4345,2868,9,catfight,dominatrix,rape,spanking,stripper,26,English,USA,R,"$23,031,390 ","$4,500,000 ",5.12,5.6,1.85, -   
O,2001,Color,95,Drama,Romance,Thriller,,,,,596,1000,835,697,17333,3300,2,basketball,basketball player,boarding school,love,shakespeare's othello,153,English,USA,R,"$16,017,403 ","$5,000,000 ",3.2,6.2,1.85, 89 
"As Above, So Below",2014,Color,93,Horror,Mystery,Thriller,,,,,66,1000,200,161,49948,1410,0,archeologist,catacomb,found footage,paris france,philosopher's stone,211,English,USA,R,"$21,197,315 ","$5,000,000 ",4.24,6.1,1.85, 370 
Addicted,2014,Color,106,Drama,Thriller,,,,,,23,1000,694,467,5975,2840,0,adultery,attraction,lust,obsession,temptation,33,Spanish,USA,R,"$17,382,982 ","$5,000,000 ",3.48,5.2,1.85," 1,000 "
Eve's Bayou,1997,Color,109,Drama,,,,,,,148,2000,434,426,6915,3843,2,doctor,louisiana,secret,title directed by female,witchcraft,209,English,USA,R,"$14,821,531 ","$6,000,000 ",2.47,7.3,1.85, 546 
Still Alice,2014,Color,101,Drama,,,,,,,25,17000,2000,423,86077,19673,1,alzheimer's disease,bechdel test passed,linguistics professor,new york city,reference to angels in america the play,195,English,USA,PG013,"$18,656,400 ","$5,000,000 ",3.73,7.5,1.85, 58 
Friday the 13th Part VIII: Jason Takes Manhattan,1989,Color,100,Adventure,Horror,,,,,,6,935,120,65,22961,1327,0,cult film,friday the thirteenth,hockey mask,jason voorhees,murder spree,291,English,USA,R,"$14,343,976 ","$5,000,000 ",2.87,4.5,1.85, -   
My Big Fat Greek Wedding,2002,Color,95,Comedy,Family,Romance,,,,,38,567,312,249,102071,1495,3,baptism,greek,greek restaurant,prejudice,travel agency,756,English,USA,PG,"$241,437,427 ","$5,000,000 ",48.29,6.6,1.85, 402 
Spring Breakers,2012,Color,94,Crime,Drama,,,,,,520,11000,892,192,108683,12306,4,kissing a dead body,repeated dialogue,sex in pool,spring break,twins,561,English,USA,R,"$14,123,773 ","$5,000,000 ",2.82,5.3,2.35, 160 
Halloween: The Curse of Michael Myers,1995,Color,93,Horror,Thriller,,,,,,13,742,152,141,20815,1227,0,halloween,michael myers,nudity,returning character with different actor,slasher flick,335,English,USA,R,"$15,126,948 ","$5,000,000 ",3.03,4.9,1.85, -   
Y Tu Mamá También,2001,Color,106,Adventure,Comedy,Drama,Romance,,,,0,269,43,19,91377,361,1,beach,cleaning a swimming pool,male male kiss,mexico,on the road,385,Spanish,Mexico,R,"$13,622,333 ","$2,000,000 ",6.81,7.7,1.85, -   
Shaun of the Dead,2004,Color,99,Comedy,Horror,,,,,,1000,605,427,358,395921,1686,6,british horror,pub,record collection,zombie,zombie apocalypse,859,English,UK,R,"$13,464,388 ","$4,000,000 ",3.37,8,2.35, 376 
The Haunting of Molly Hartley,2008,Color,82,Drama,Horror,Thriller,,,,,7,1000,984,664,7904,4856,5,18th birthday,birthday,community center,resurrection,teenager,113,English,USA,PG013,"$13,350,177 ","$5,000,000 ",2.67,3.8,1.85, 509 
Lone Star,1996,Color,135,Drama,Mystery,,,,,,407,11000,189,111,23202,11400,2,father son relationship,interracial relationship,neo western,sheriff,texas,173,English,USA,R,"$13,269,963 ","$5,000,000 ",2.65,7.6,2.35, -   
Halloween 4: The Return of Michael Myers,1988,Color,88,Horror,Thriller,,,,,,27,742,120,101,29629,1136,0,halloween,michael myers,murder,niece,october,374,English,USA,R,"$17,768,000 ","$5,000,000 ",3.55,5.9,1.85, -   
April Fool's Day,1986,Color,89,Horror,Mystery,,,,,,17,690,190,85,10624,1160,0,april fool's day,island,mansion,psycho,secret,125,English,USA,R,"$12,947,763 ","$5,000,000 ",2.59,6.2,2.35, 186 
Diner,1982,Color,110,Comedy,Drama,,,,,,272,801,796,551,14995,2943,6,baltimore colts,diner,marriage,salesman,wedding,87,English,USA,R,"$14,100,000 ","$5,000,000 ",2.82,7.2,1.85, 589 
Lone Wolf McQuade,1983,Color,107,Action,Crime,Drama,Thriller,Western,,,8,926,400,268,7973,2383,0,drugs,martial arts,texas,texas ranger,weapon,65,English,USA,PG,"$12,200,000 ","$5,000,000 ",2.44,6.3,1.85," 1,000 "
Apollo 18,2011,Color,86,Horror,Mystery,Sci0Fi,Thriller,,,,17,520,270,205,47227,1520,0,cosmonaut,footprint,found footage,moon,secret mission,323,English,USA,PG013,"$17,683,670 ","$5,000,000 ",3.54,5.2,1.33, 695 
Sunshine Cleaning,2008,Color,91,Comedy,Drama,,,,,,19,968,934,260,61151,2528,0,business,crime scene cleanup,private school,school,sister sister relationship,134,English,USA,R,"$12,055,108 ","$8,000,000 ",1.51,6.9,2.35, 486 
No Escape,2015,Color,103,Action,Thriller,,,,,,66,155,78,13,48675,259,0,asia,fictional country,hotel,rebellion,revolution,214,English,USA,R,"$27,285,953 ","$5,000,000 ",5.46,6.8,1.85, 746 
Fifty Shades of Black,2016,Color,92,Comedy,,,,,,,89,729,706,355,9509,2848,4,color in title,parody,reference to cuba gooding jr,reference to netflix,written by star,53,English,USA,R,"$11,675,178 ","$5,000,000 ",2.34,3.5,, 119 
Not Easily Broken,2009,Color,99,Drama,Romance,,,,,,1000,849,578,409,2326,2269,1,african american protagonist,based on novel,title spoken by character,,,21,English,USA,PG013,"$10,572,742 ","$8,000,000 ",1.32,6.1,1.85, -   
The Perfect Match,2016,Color,96,Comedy,Romance,,,,,,23,927,509,503,1180,3552,6,,,,,,9,English,USA,R,"$9,658,370 ","$5,000,000 ",1.93,4.5,, -   
Digimon: The Movie,2000,Color,82,Action,Adventure,Animation,Family,Sci0Fi,,,99,93,45,44,5164,315,0,based on video game,box office hit,computer,digimon,internet,65,English,USA,PG,"$9,628,751 ","$5,000,000 ",1.93,5.9,1.85, 850 
Saved!,2004,Color,92,Comedy,Drama,,,,,,12,3000,835,797,40274,5668,5,christian,jewish,pastor,school,virginity,324,English,USA,PG013,"$8,786,715 ","$5,000,000 ",1.76,6.9,1.85, -   
The Barbarian Invasions,2003,Color,112,Comedy,Crime,Drama,Mystery,Romance,,,66,150,28,21,24921,253,2,cancer,dying,friend,money,socialist,166,French,Canada,R,"$3,432,342 ","$6,000,000 ",0.57,7.7,2.35, 957 
The Forsaken,2001,Color,90,Horror,Thriller,,,,,,23,847,591,560,7319,3004,4,flashing breasts,hitchhiker,vampire,vampire hunter,virus,131,English,USA,R,"$6,755,271 ","$5,000,000 ",1.35,5.3,1.85, -   
UHF,1989,Color,150,Comedy,Drama,,,,,,3,859,448,448,21416,3942,1,gambling,imagination,television,television station,tv show,198,English,USA,PG013,"$6,157,157 ","$5,000,000 ",1.23,7,1.85, -   
Slums of Beverly Hills,1998,Color,91,Comedy,Drama,,,,,,84,1000,778,572,9427,2691,0,flatulence,menstrual blood,nomad,nursing school,title directed by female,79,English,USA,R,"$5,480,318 ","$5,000,000 ",1.1,6.6,1.85, -   
